[*] DUDE: Initiating TikTok Sandbox Escape...
[+] SSL Pinning bypass active.
[+] Root detection bypass active.
[+] Anti-debug bypass active.
[+] TikTok Data Interception active.
[*] DUDE: TikTok is now FREE from its sandbox. Happy hacking!
[+] SSL BYPASS: Trusting host -> mon-boot.tiktokv.com
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7595455797241414673
[DATA] Intercepted TikTok UID: 7595455797241414673
[DATA] Intercepted TikTok UID: 7595455797241414673
[DATA] Intercepted TikTok UID: 7595455797241414673
[DATA] Intercepted TikTok UID: 6578658778773454854
[DATA] Intercepted TikTok UID: 6578658778773454854
[DATA] Intercepted TikTok UID: 6578658778773454854
[DATA] Intercepted TikTok UID: 6578658778773454854
[DATA] Intercepted TikTok UID: 6840387213014369286
[DATA] Intercepted TikTok UID: 6840387213014369286
[DATA] Intercepted TikTok UID: 6840387213014369286
[DATA] Intercepted TikTok UID: 6840387213014369286
[DATA] Intercepted TikTok UID: 289596297299529728
[DATA] Intercepted TikTok UID: 289596297299529728
[DATA] Intercepted TikTok UID: 289596297299529728
[DATA] Intercepted TikTok UID: 289596297299529728
[DATA] Intercepted TikTok UID: 7411103661211141126
[DATA] Intercepted TikTok UID: 7411103661211141126
[DATA] Intercepted TikTok UID: 7411103661211141126
[DATA] Intercepted TikTok UID: 7411103661211141126
[DATA] Intercepted TikTok UID: 7510338309966005279
[DATA] Intercepted TikTok UID: 7510338309966005279
[DATA] Intercepted TikTok UID: 7510338309966005279
[DATA] Intercepted TikTok UID: 7510338309966005279
[DATA] Intercepted TikTok UID: 7381563860882392107
[DATA] Intercepted TikTok UID: 7381563860882392107
[DATA] Intercepted TikTok UID: 7381563860882392107
[DATA] Intercepted TikTok UID: 7381563860882392107
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7574297133429703688
[DATA] Intercepted TikTok UID: 7086980118383690798
[DATA] Intercepted TikTok UID: 7086980118383690798
